system_type	doc_id	REF	SYS	HYP	SRC	DA
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	bart_out.txt	Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal . Anuradha Koirala , who rescues victims of sex trafficking , has a rehabilitation center that is home to 425 young women and girls . Pushpa Basnet and the 45 children she cares for were also forced to evacuate their residence . Several CNN Heroes have been assisting in relief efforts in Nepal .	DUMMY	0.6
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	bottom_up_out.txt	cnn hero of the year has been warned not to use main water line to risk of cholera . koirala 's group is home to 115 girls of sex trafficking . all of the children have been sleeping .	DUMMY	0.0
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	fast_abs_rl_out_rerank.txt	two cnn heroes are among the earthquake survivors in kathmandu , nepal . anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu . public has been warned not to use main water line due to cholera . she has offered to take in 200 other girls orphaned by the disaster .	DUMMY	0.1
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	presumm_out_abs.txt	anuradha koirala has a rehab center in kathmandu that is home to 425 young women and girls she has offered to take in 200 other girls orphaned by the disaster koirala 's group is relying on bottled water and is now rationing food	DUMMY	0.0
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	presumm_out_ext_abs.txt	anuradha koirala rescues victims of sex trafficking she has a rehab center in kathmandu that is home to 425 young women and girls koirala 's group is relying on bottled water and is now rationing food koirala is the 2010 cnn hero of the year	DUMMY	0.1
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	presumm_out_trans_abs.txt	"anuradha koirala , who rescues victims of sex trafficking , has a rehab center in kathmandu koirala 's group is relying on bottled water and is now rationing food koirala : "" these girls are most vulnerable , because now people will target them """	DUMMY	0.0
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	ptr_generator_out_pointer_gen_cov.txt	anuradha koirala , who rescues victims of sex trafficking , has a rehabilitation center in kathmandu .the public has been warned not to use the main water line due to risk of cholera .koirala 's group is relying on bottled water and is now rationing food .	DUMMY	0.0
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	semsim_out.txt	Two CNN Heroes are among the earthquake survivors in Kathmandu , Nepal . Anuradha Koirala and Pushpa Basnet and the 45 children they care for were forced to evacuate their homes . Their facilities have been damaged or destroyed . CNN Heroes have been assisting in relief efforts in Nepal .	DUMMY	0.6
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	t5_out_11B.txt	anuradha koirala, the 2010 cnn hero of the year, rescues victims of sex trafficking . pushpa basnet, who helps orphans in kathmandu, is rescuing children from rubble .	DUMMY	0.1
abs	0	Anuradha Koirala and 425 young women and girls have been sleeping outdoors because of aftershocks . Pushpa Basnet and 45 children she cares for were forced to evacuate their residence . Seven other CNN Heroes and their organizations now assisting in relief efforts .	t5_out_base.txt	two cnn heroes are among the earthquake survivors in kathmandu, nepal . they are struggling in the aftermath of the earthquake .	DUMMY	0.0
